timestamp,accuracy,precision,recall,f1,roc_auc
2025-06-04T00:25:02.230347,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:09.704744,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:14.230372,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:14.942287,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:15.578809,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T00:25:15.836983,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:16.083541,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T00:25:16.342983,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:16.638724,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:16.889207,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:17.170777,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:17.535253,0.990909090909091,0.9952076677316294,0.925,0.9570517548045638,1.0
2025-06-04T00:25:17.864570,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:18.148952,0.990909090909091,0.9952076677316294,0.925,0.9570517548045638,1.0
2025-06-04T00:25:18.424560,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:18.743638,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:19.168785,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:19.430653,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:19.732518,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:20.128189,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:20.501555,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:20.816174,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:21.065714,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T00:25:21.340066,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:21.601031,0.990909090909091,0.9952076677316294,0.925,0.9570517548045638,1.0
2025-06-04T00:25:21.854864,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:22.103351,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:22.352485,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:22.591430,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:40.118196,1.0,1.0,1.0,1.0,1.0
2025-06-04T00:25:50.656013,1.0,1.0,1.0,1.0,1.0
2025-06-04T11:04:41.468638,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T11:05:03.315522,1.0,1.0,1.0,1.0,1.0
2025-06-04T12:12:25.879825,1.0,1.0,1.0,1.0,1.0
2025-06-04T12:19:19.359665,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T12:19:45.553185,1.0,1.0,1.0,1.0,1.0
2025-06-04T12:20:10.270470,1.0,1.0,1.0,1.0,1.0
2025-06-04T12:20:25.674299,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T12:28:49.469723,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T12:51:14.620276,1.0,1.0,1.0,1.0,1.0
2025-06-04T12:56:42.718696,1.0,1.0,1.0,1.0,1.0
2025-06-04T12:58:38.389996,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:01:16.356927,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:20.036598,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:23.215305,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:24.301705,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T13:42:25.079094,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:25.643010,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T13:42:26.125137,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:26.621443,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:27.117674,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:27.567264,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:27.986176,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:28.383577,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T13:42:28.757817,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T13:42:29.267923,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:29.747343,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:30.049840,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:30.323905,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:30.570204,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:30.783056,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T13:42:31.023920,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:31.267079,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:42:31.513089,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T13:42:31.758343,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:47:51.970621,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:47:58.883456,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:47:59.647168,1.0,1.0,1.0,1.0,1.0
2025-06-04T13:48:00.456371,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T14:00:52.574569,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:03:43.350917,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:03:45.918196,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:08:56.904122,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:25.410871,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:28.186413,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:29.173352,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:29.955308,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:30.556419,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:31.179672,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:12:31.570683,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:32.288800,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:12:32.773214,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:33.388256,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:34.181958,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:34.925912,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:12:35.826644,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:16:50.734109,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:19:26.475516,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:20:41.345554,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:20:45.933677,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:22:56.008192,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T14:23:48.412520,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:24:50.744842,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:26:12.840576,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:29:26.015037,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T14:30:07.974231,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:30:20.124539,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:30:29.753725,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:31:14.562558,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:32:37.607581,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:34:49.642044,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:42:18.563377,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:43:18.157566,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:46:36.348640,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:47:35.811450,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:48:05.135572,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:49:00.011766,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:52:24.265014,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T14:55:14.333110,1.0,1.0,1.0,1.0,1.0
2025-06-04T14:58:31.196151,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T15:01:14.056903,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T15:03:38.842766,1.0,1.0,1.0,1.0,1.0
2025-06-04T15:05:52.104835,1.0,1.0,1.0,1.0,1.0
2025-06-04T15:06:09.693969,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T15:06:36.721638,1.0,1.0,1.0,1.0,1.0
2025-06-04T15:07:19.915298,1.0,1.0,1.0,1.0,1.0
2025-06-04T15:08:41.621721,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T16:14:26.839407,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T16:14:57.235107,1.0,1.0,1.0,1.0,1.0
2025-06-04T16:15:17.627959,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T16:15:47.678214,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T16:16:30.300935,1.0,1.0,1.0,1.0,1.0
2025-06-04T16:16:53.144964,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T16:17:10.283735,1.0,1.0,1.0,1.0,1.0
2025-06-04T16:17:53.889937,1.0,1.0,1.0,1.0,1.0
2025-06-04T16:19:18.266612,1.0,1.0,1.0,1.0,1.0
2025-06-04T16:20:00.355333,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-04T16:20:28.914643,1.0,1.0,1.0,1.0,1.0
2025-06-04T23:06:02.541851,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-04T23:06:16.258499,1.0,1.0,1.0,1.0,1.0
2025-06-04T23:06:18.854722,1.0,1.0,1.0,1.0,1.0
2025-06-04T23:06:19.566238,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-10T19:49:44.510351,1.0,1.0,1.0,1.0,1.0
2025-06-10T19:54:35.614732,1.0,1.0,1.0,1.0,1.0
2025-06-10T19:55:15.322844,1.0,1.0,1.0,1.0,1.0
2025-06-10T19:55:44.551950,1.0,1.0,1.0,1.0,1.0
2025-06-10T19:55:46.936547,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-11T14:55:28.505309,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-11T15:02:27.890649,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:06:21.569523,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-11T15:14:20.859193,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:21.529048,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:22.240401,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:22.982822,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:23.399139,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:23.880278,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:24.474969,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:24.850209,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:25.094470,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:25.536043,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:25.915169,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:26.261969,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:26.496701,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-11T15:14:27.038494,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:14:27.278354,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-11T15:15:42.381084,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-11T15:15:48.006839,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:15:49.060199,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:15:49.414940,0.9939393939393939,0.9967948717948718,0.95,0.9720764934845152,1.0
2025-06-11T15:15:49.748903,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:15:50.454071,1.0,1.0,1.0,1.0,1.0
2025-06-11T15:15:50.705850,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
2025-06-11T15:16:24.461088,0.996969696969697,0.9983922829581994,0.975,0.9863743342004212,1.0
